,X,Y_true,Y_gen,mAE,mSE
0,-10,10,10.017228940642129,0.8554811197353029,1.9516775019903883
1,-9,12,11.026477514214934,0.8554811197353029,1.9516775019903883
2,-8,14,13.315912752968964,0.8554811197353029,1.9516775019903883
3,-7,16,16.156502801776696,0.8554811197353029,1.9516775019903883
4,-6,18,18.0,0.8554811197353029,1.9516775019903883
5,-5,20,18.02856644539925,0.8554811197353029,1.9516775019903883
6,-4,22,21.53705696269316,0.8554811197353029,1.9516775019903883
7,-3,24,19.490494591346415,0.8554811197353029,1.9516775019903883
8,-2,26,25.859972398387676,0.8554811197353029,1.9516775019903883
9,-1,28,27.914072728473055,0.8554811197353029,1.9516775019903883
10,0,30,28.88274223889792,0.8554811197353029,1.9516775019903883
11,1,32,32.36039089207557,0.8554811197353029,1.9516775019903883
12,2,34,32.97696908038595,0.8554811197353029,1.9516775019903883
13,3,36,33.36744255623765,0.8554811197353029,1.9516775019903883
14,4,38,38.0300092303318,0.8554811197353029,1.9516775019903883
15,5,40,39.619724183586584,0.8554811197353029,1.9516775019903883
16,6,42,41.961457219724124,0.8554811197353029,1.9516775019903883
17,7,44,42.26982393086846,0.8554811197353029,1.9516775019903883
18,8,46,46.796203133064004,0.8554811197353029,1.9516775019903883
19,9,48,48.0,0.8554811197353029,1.9516775019903883
